City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mar del plata,100,AR,1577132772,47,-46.43,-67.52,61.52,16.62
88,hithadhoo,100,MV,1577132772,83,-0.6,73.08,80.55,16.37
89,krasnoufimsk,100,RU,1577132772,89,56.6,57.77,20.23,12.26
90,yellowknife,75,CA,1577132772,83,62.45,-114.38,-2.99,5.82
91,port hardy,75,CA,1577132772,75,50.7,-127.42,42.8,6.93
92,rio gallegos,40,AR,1577132772,19,-51.62,-69.22,60.8,23.04
93,barrow,65,AR,1577132772,15,-38.31,-60.23,94.71,21.45
94,kaitangata,100,NZ,1577132772,85,-46.28,169.85,51.01,1.99
95,sandwick,49,GB,1577132773,93,54.57,-2.89,46.99,27.51
96,inhambane,20,MZ,1577132773,88,-23.87,35.38,77.0,3.36
97,khatanga,100,RU,1577132773,92,71.98,102.47,-16.53,7.47
98,isangel,80,VU,1577132773,68,-19.55,169.27,74.95,13.71
99,port hedland,0,AU,1577132773,94,-20.31,118.58,82.4,8.05
100,evensk,100,RU,1577132773,91,61.92,159.24,-4.74,12.77
101,saldanha,100,PT,1577132773,88,41.42,-6.55,47.05,3.27
102,fortuna,1,US,1577132510,81,40.6,-124.16,52.0,5.82
103,mount gambier,2,AU,1577132773,93,-37.83,140.78,50.0,6.93
104,najran,66,SA,1577132773,44,17.54,44.22,59.0,4.7
105,guerrero negro,100,MX,1577132773,51,27.97,-114.04,69.75,10.87
106,flinders,90,AU,1577132774,100,-34.58,150.85,69.01,8.7
107,leshukonskoye,100,RU,1577132774,94,64.9,45.76,15.46,10.33
108,atuona,48,PF,1577132774,61,-9.8,-139.03,80.13,10.04
109,svetlaya,16,RU,1577132774,64,46.54,138.33,6.12,7.23
110,vanimo,19,PG,1577132774,80,-2.67,141.3,81.1,4.34
111,hirara,0,JP,1577132774,79,24.8,125.28,71.73,14.94
112,cherskiy,100,RU,1577132774,92,68.75,161.3,-25.02,2.21
113,aleksandrovskiy zavod,17,RU,1577132774,99,50.92,117.94,-19.05,1.95
114,vila do maio,74,CV,1577132774,60,15.13,-23.22,75.2,14.99
115,taltal,0,CL,1577132774,68,-25.41,-70.49,65.37,6.67
116,kulu,0,CD,1577132774,62,3.47,23.69,72.19,1.1
117,la sarre,100,CA,1577132774,87,48.8,-79.2,15.19,10.16
118,adrar,97,DZ,1577132775,37,27.87,-0.29,68.0,11.41
119,pisco,75,PE,1577132775,30,-13.71,-76.2,72.0,18.34
120,ambilobe,100,MG,1577132775,84,-13.19,49.05,78.03,0.4
121,sioux lookout,40,CA,1577132775,67,50.1,-91.92,19.4,0.58
122,qaanaaq,100,GL,1577132775,96,77.48,-69.36,-3.96,3.94
123,padang,100,ID,1577132775,96,-0.92,100.36,68.41,3.09
124,rincon,40,PA,1577132775,74,8.46,-82.28,86.0,9.17
125,port macquarie,90,AU,1577132775,100,-31.43,152.91,71.01,7.36
126,hirna,0,ET,1577132775,56,9.22,41.1,59.5,4.59
127,katsuura,20,JP,1577132775,87,33.93,134.5,46.99,9.17
128,berlevag,100,NO,1577132775,75,70.86,29.09,33.76,13.53
129,muromtsevo,100,RU,1577132776,94,56.37,75.24,8.04,9.08
130,harlingen,90,NL,1577132776,81,53.18,5.41,48.99,13.87
131,carnarvon,0,ZA,1577132776,20,-30.97,22.13,71.33,11.39
132,nishihara,1,JP,1577132776,75,35.74,139.53,48.2,12.75
133,yar-sale,99,RU,1577132776,93,66.83,70.83,-5.8,21.34
134,zaysan,100,KZ,1577132776,78,47.47,84.87,10.2,2.53
135,chanika,100,MW,1577132776,88,-12.93,34.19,69.19,1.81
136,sechura,51,PE,1577132776,91,-5.56,-80.82,69.28,18.43
137,san carlos de bariloche,75,AR,1577132777,58,-41.13,-71.31,57.2,27.51
138,coracora,96,PE,1577132777,45,-15.02,-73.78,59.49,12.57
139,sovetskiy,100,RU,1577132777,89,56.76,48.47,30.79,17.02
140,shiyan,76,CN,1577132777,76,32.65,110.78,34.39,2.33
141,davila,51,PH,1577132777,84,18.47,120.58,78.37,16.82
142,hami,44,CN,1577132777,60,42.84,93.51,17.73,3.24
143,mount isa,0,AU,1577132777,33,-20.73,139.49,75.2,5.37
144,fort-shevchenko,3,KZ,1577132777,58,44.51,50.26,33.44,21.83
145,miram shah,18,PK,1577132777,33,33.01,70.07,40.8,3.56
146,san cristobal,84,HN,1577132777,75,14.68,-86.92,71.56,10.31
147,sayat,39,TM,1577132777,69,38.78,63.88,33.8,11.41
148,codrington,90,AU,1577132777,94,-28.95,153.24,73.4,2.62
149,quartz hill,90,US,1577132778,93,34.65,-118.22,57.0,13.87
150,chake chake,37,TZ,1577132778,77,-5.25,39.77,82.9,10.78
151,daru,32,PG,1577132778,85,-9.07,143.21,78.67,4.23
152,bambous virieux,75,MU,1577132778,74,-20.34,57.76,80.6,13.87
153,port shepstone,7,ZA,1577132778,92,-30.74,30.45,70.23,5.82
154,tucano,24,BR,1577132778,31,-10.96,-38.79,87.4,7.61
155,scottsbluff,1,US,1577132778,34,41.87,-103.67,59.0,3.36
156,mpika,100,ZM,1577132778,94,-11.84,31.4,64.71,6.51
157,luangwa,22,MZ,1577132778,60,-15.62,30.4,74.46,1.19
158,meulaboh,98,ID,1577132778,81,4.14,96.13,80.51,7.14
159,tsaratanana,33,MG,1577132779,74,-16.8,47.65,69.44,9.1
160,te anau,96,NZ,1577132779,77,-45.41,167.72,44.4,1.16
161,la ronge,90,CA,1577132779,92,55.1,-105.3,23.0,6.93
162,progreso,0,UY,1577132779,21,-34.68,-56.22,82.0,6.93
163,lavrentiya,0,RU,1577132779,86,65.58,-170.99,1.87,10.02
164,vila velha,96,BR,1577132779,62,-3.71,-38.6,86.0,11.41
165,chumikan,0,RU,1577132779,75,54.72,135.31,-20.11,13.47
166,chokurdakh,98,RU,1577132779,95,70.62,147.9,-19.91,0.81
167,chany,100,RU,1577132779,95,55.31,76.76,2.43,13.31
168,dharchula,76,IN,1577132779,22,29.85,80.53,25.95,10.71
169,lipno,100,PL,1577132779,91,52.85,19.18,46.0,1.99
170,ketrzyn,100,PL,1577132779,97,54.08,21.38,41.43,5.64
171,ancud,90,CL,1577132779,87,-41.87,-73.83,53.6,5.82
172,ilhabela,100,BR,1577132669,83,-23.78,-45.36,75.34,2.91
173,san quintin,76,PH,1577132780,73,17.54,120.52,68.95,4.32
174,iranduba,75,BR,1577132780,88,-3.28,-60.19,78.8,4.7
175,mehendiganj,26,BD,1577132780,58,22.82,90.53,63.81,8.88
176,merauke,45,ID,1577132596,90,-8.49,140.4,75.76,5.35
177,roma,0,IT,1577132526,76,41.89,12.48,57.2,3.36
178,maceio,20,BR,1577132780,65,-9.67,-35.74,82.4,13.87
179,san lawrenz,20,MT,1577132780,62,36.06,14.2,60.01,31.09
180,yakeshi,100,CN,1577132780,100,49.28,120.73,-22.11,2.04
181,sayyan,0,YE,1577132780,52,15.17,44.32,49.17,3.0
182,port-gentil,20,GA,1577132780,88,-0.72,8.78,82.4,6.93
183,korcula,20,HR,1577132780,47,42.96,17.14,53.6,13.87
184,biltine,0,TD,1577132781,18,14.53,20.93,66.25,6.06
185,kamenka,100,MD,1577132781,91,48.03,28.7,48.99,13.4
186,nanortalik,92,GL,1577132781,71,60.14,-45.24,29.17,7.38
187,bundaberg,75,AU,1577132781,78,-24.87,152.35,75.99,1.12
188,kaeo,0,NZ,1577132781,98,-35.1,173.78,71.01,1.01
189,luderitz,0,NA,1577132781,82,-26.65,15.16,60.8,8.05
